UsageData 2026-05-06,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/30/2025,1/30/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/31/2025,1/31/2025,TRUE,TRUE
